iter	Logloss
0	0.6258858248
1	0.5677504262
2	0.5087623925
3	0.4756912672
4	0.4427137543
5	0.4153884494
6	0.3953996317
7	0.3647733398
8	0.3465060912
9	0.3334678875
10	0.3125300017
11	0.2956958436
12	0.2788446001
13	0.2674049814
14	0.2553535003
15	0.2456832838
16	0.2336909222
17	0.2314929152
18	0.2237217047
19	0.2127717336
20	0.2084828104
21	0.2035122446
22	0.196762992
23	0.1911855016
24	0.1869004344
25	0.18146208
26	0.1729235055
27	0.1689528215
28	0.1643754827
29	0.1596935576
30	0.1529860556
31	0.1487017793
32	0.1459099896
33	0.1415246965
34	0.1385345878
35	0.1335508742
36	0.1320963047
37	0.129656725
38	0.1258922266
39	0.1235590477
40	0.1193247473
41	0.1170829134
42	0.1128916621
43	0.1106152899
44	0.1079499352
45	0.1056054078
46	0.1022592962
47	0.0996817615
48	0.09847578406
49	0.09614656878
50	0.09520110153
51	0.09251283845
52	0.09085434353
53	0.09044352806
54	0.08837344482
55	0.08511846631
56	0.08489053255
57	0.08452725788
58	0.08204315426
59	0.08127153674
60	0.07852901561
61	0.07642505777
62	0.07415127554
63	0.07288224107
64	0.07259160171
65	0.07094947556
66	0.0696102427
67	0.06739691739
68	0.06592906008
69	0.06526649935
70	0.06325416729
71	0.06150164556
72	0.05996073953
73	0.05888464688
74	0.05877006401
75	0.05707851758
76	0.05563949864
77	0.05552263181
78	0.05389062416
79	0.05244240493
80	0.0520925874
81	0.05084066689
82	0.04976904386
83	0.04872481315
84	0.04762020938
85	0.0464279856
86	0.04572373668
87	0.04495350268
88	0.04386147182
89	0.04283662034
90	0.04265402893
91	0.04173093228
92	0.04095813818
93	0.04082049238
94	0.0398550699
95	0.03973521414
96	0.03965652396
97	0.0389407431
98	0.03816917146
99	0.03766012995
